Sample,variety,Genus,Abundance
KarstCh1,white,< 1%,19.592030360531307
KarstCh1,white,Acremonium,0.2846299810246679
KarstCh1,white,Arthrocladium,0
KarstCh1,white,Aspergillus,0.2846299810246679
KarstCh1,white,Beauveria,0.23719165085388993
KarstCh1,white,Bjerkandera,0
KarstCh1,white,Boothiomyces,0.3795066413662239
KarstCh1,white,Cadophora,0.6641366223908919
KarstCh1,white,Cerrena,0
KarstCh1,white,Chaetomium,0.9013282732447818
KarstCh1,white,Cladosporium,1.8500948766603416
KarstCh1,white,Clavaria,0.6641366223908919
KarstCh1,white,Clavulina,4.838709677419355
KarstCh1,white,Conlarium,0.33206831119544594
KarstCh1,white,Cylindrium,1.8500948766603416
KarstCh1,white,Delicatula,0
KarstCh1,white,Funalia,0
KarstCh1,white,Fusarium,2.4667931688804554
KarstCh1,white,Hygrocybe,0.33206831119544594
KarstCh1,white,Inocybe,2.0398481973434532
KarstCh1,white,Lactifluus,0
KarstCh1,white,Lentinus,0
KarstCh1,white,Leotia,0.8064516129032258
KarstCh1,white,Malbranchea,0
KarstCh1,white,Metarhizium,1.0436432637571158
KarstCh1,white,Mortierella,3.652751423149905
KarstCh1,white,Mycena,0.09487666034155598
KarstCh1,white,Nigrospora,0.5218216318785579
KarstCh1,white,Penicillium,0.6166982922201139
KarstCh1,white,Plectosphaerella,18.16888045540797
KarstCh1,white,Polyscytalum,0.9013282732447818
KarstCh1,white,Pseudoveronaea,0
KarstCh1,white,Russula,2.6091081593927896
KarstCh1,white,Sarcinomyces,0
KarstCh1,white,Sebacina,0
KarstCh1,white,Seychellomyces,0.6166982922201139
KarstCh1,white,Sphaceloma,0
KarstCh1,white,Sphaerosporella,0.18975332068311196
KarstCh1,white,Trechispora,0
KarstCh1,white,Trichoderma,0.8064516129032258
KarstCh1,white,Trichoglossum,0
KarstCh1,white,Tuber,0.4269449715370019
KarstCh1,white,Unclassified Agaricaceae,0.4269449715370019
KarstCh1,white,Unclassified Agaricales,0.5692599620493358
KarstCh1,white,Unclassified Agaricomycetes,1.1859582542694498
KarstCh1,white,Unclassified Ascomycota,0.8538899430740038
KarstCh1,white,Unclassified Basidiomycota,6.878557874762809
KarstCh1,white,Unclassified Capnodiales,0
KarstCh1,white,Unclassified Chaetothyriales,1.0910815939278937
KarstCh1,white,Unclassified Cordycipitaceae,0
KarstCh1,white,Unclassified Eurotiales,0
KarstCh1,white,Unclassified Helotiales,0.6166982922201139
KarstCh1,white,Unclassified Hypocreales,1.1859582542694498
KarstCh1,white,Unclassified Hysteriaceae,0
KarstCh1,white,Unclassified Inocybaceae,1.7077798861480076
KarstCh1,white,Unclassified Leotiomycetes,0.14231499051233396
KarstCh1,white,Unclassified Microascaceae,0
KarstCh1,white,Unclassified Mortierellaceae,1.7077798861480076
KarstCh1,white,Unclassified Nectriaceae,13.045540796963946
KarstCh1,white,Unclassified Phanerochaetaceae,0
KarstCh1,white,Unclassified Pleosporales,0
KarstCh1,white,Unclassified Russulaceae,0.23719165085388993
